Date,Open,High,Low,Close,Volume
2014-12-01,169.13325413904496,169.24797581079363,168.2974301750437,168.6088104248047,103968400
2014-12-02,168.64981235337908,169.9035610054865,168.62523002715943,169.69869995117188,74507200
2014-12-03,169.87079420282367,170.56731430766314,169.70690785484538,170.35426330566406,68952000
2014-12-04,170.0675211858076,170.66572472680932,169.37919074535483,170.16586303710938,91316600
2014-12-05,170.3378652233559,170.8295367545753,170.07564957610492,170.44439697265625,91025500
2014-12-08,170.05102542337522,170.54268432993746,168.74809993723537,169.30532836914062,108588200
2014-12-09,167.4698055059784,169.29717505669166,167.09286817977173,169.19064331054688,125180100
2014-12-10,168.73169643277924,168.78905100383818,166.28974460834735,166.4782257080078,159856400
2014-12-11,167.06830093831533,168.96121519200952,166.92899691355507,167.32232666015625,159012800
2014-12-12,166.05211462141062,167.01906494412887,164.5853155135556,164.6180877685547,202330200
2014-12-15,165.51133282276095,165.96202962481365,162.88911393408057,163.4873046875,189965800
2014-12-16,162.72524993320448,165.85552064454603,162.13524903930377,162.1762237548828,259543800
2014-12-17,162.61058110640738,165.80640990108813,162.48765691970013,165.355712890625,253910100
2014-12-18,167.77299584682268,174.5170175424843,167.10104565775663,169.4446563720703,257633900
2014-12-19,170.09151334131593,170.83309123538643,169.41586689319604,170.16567993164062,245084600
2014-12-22,170.35515287325197,170.9484100341797,170.11620800944846,170.9484100341797,148318900
2014-12-23,171.52518751296392,171.57462351516708,170.89072948163678,171.1791229248047,122167900
2014-12-24,171.4016246915783,171.66528760272422,171.1544320686209,171.1956329345703,42963400
2014-12-26,171.64054568327762,172.08549485715466,171.5911096801218,171.74766540527344,57326700
2014-12-29,171.56636438724016,172.1843394738604,171.5004455359391,171.9783477783203,79643900
2014-12-30,171.55820824001478,171.69003343058083,170.9814211687312,171.0555877685547,73540800
2014-12-31,171.37689873891466,171.54168962233103,169.23457953628642,169.35816955566406,130333800
2015-01-02,170.05026505754233,170.46224844022055,168.23752811557006,169.26748657226562,121465900
2015-01-05,168.22930272544193,168.39409357351823,165.90572285027358,166.21058654785156,169632600
2015-01-06,166.51547647443184,167.03457967173875,163.8540667692118,164.64508056640625,209151400
2015-01-07,165.9634319564337,167.0345915730801,165.51849530756698,166.69676208496094,125346700
2015-01-08,168.09748816790014,169.869024603716,168.0810178817393,169.65478515625,147217800
2015-01-09,170.06675072748448,170.08323358464872,167.68548706306586,168.29522705078125,158567300
2015-01-12,168.42708807890264,168.5836438117954,166.37540583732635,166.97689819335938,144396100
2015-01-13,168.18813502289086,169.30873061252777,165.21361373830064,166.5072479248047,214553300
2015-01-14,164.50499337901047,165.69975549175481,163.61512015411023,165.5019989013672,192991100
2015-01-15,166.13647051424184,166.44956942530905,163.87056126040977,163.9859161376953,176613900
2015-01-16,163.77997355145,166.29307617464065,163.59869975090888,166.1365203857422,211879600
2015-01-20,166.77091419250849,167.0345896649275,164.9334713202657,166.4907684326172,130991100
2015-01-21,166.02935314471333,167.80912491052092,165.56793362900146,167.3312225341797,122942700
2015-01-22,168.08102454992158,169.95142049511813,166.71323638005796,169.81959533691406,174356000
2015-01-23,169.564119738954,169.8195600042842,168.75663580723023,168.8884735107422,117516800
2015-01-26,168.67422351292447,169.37458764279205,167.96561166976016,169.28395080566406,92009700
2015-01-27,167.24059532939023,168.18815242017473,166.22711936501577,167.05108642578125,134044600
2015-01-28,168.22932283050397,168.3281948366188,164.71922831331804,164.9087371826172,168514300
2015-01-29,165.10651804313372,166.68853323726023,163.70576402928936,166.43310546875,173585400
2015-01-30,165.26303082958518,166.58137019560846,164.0765165992491,164.34017944335938,197729700
2015-02-02,164.83458263222118,166.46603359139985,163.0300930901773,166.37539672851562,163107000
2015-02-03,167.26524579061075,168.78958926656478,166.894463277543,168.78134155273438,124212900
2015-02-04,168.02328652331434,169.22628342706494,167.68545716173728,168.13864135742188,134306700
2015-02-05,168.79783543378144,169.9843496112907,168.72368144087096,169.83602905273438,97953200
2015-02-06,170.19858072859728,170.75888469217193,168.84727567528097,169.3663787841797,125672000
2015-02-09,168.7236617178315,169.4405087109741,168.2045586826682,168.60830688476562,87219000
2015-02-10,169.63828844574928,170.65999922902105,168.64951822966802,170.40457153320312,96164200
2015-02-11,170.23983134662117,170.93196064564754,169.5971380585625,170.5034942626953,91087800
2015-02-12,171.2945186345204,172.2008874668353,170.53647041692065,172.14320373535156,97545900
2015-02-13,172.26675145476713,172.90119686249804,172.0113111759659,172.8517608642578,93670400
2015-02-17,172.53865049954948,173.29671105298593,172.29147050683778,173.12367248535156,76968200
2015-02-18,172.7529170154878,173.2143365045599,172.48924155159625,173.1401824951172,80652900
2015-02-19,172.54690121906617,173.37910321207133,172.40682836317836,173.0165557861328,91462500
2015-02-20,172.60457407578224,174.12891779378688,171.98659893162952,174.0547637939453,140896400
2015-02-23,173.80756998498592,174.03004455566406,173.42853970059855,174.03004455566406,74411100
2015-02-24,173.9558901413412,174.72218590601705,173.65926155061786,174.52442932128906,72472300
2015-02-25,174.4008166310965,174.8787188858132,174.03826922595033,174.3760986328125,73061700
2015-02-26,174.2854598287468,174.44201553128175,173.56860016833596,174.17010498046875,72697900
2015-02-27,174.07127699042695,174.33495248517968,173.52746828479377,173.576904296875,108076000
2015-03-02,173.67576962994886,174.73044642284773,173.6263336197722,174.6727752685547,87491400
2015-03-03,174.24428028315134,174.72218259095698,173.09896680206552,173.9558868408203,110325800
2015-03-04,173.36263756706063,173.43680414626542,172.25852489497942,173.22256469726562,114497200
2015-03-05,173.54391927618923,173.6922398686798,172.90947376137532,173.41209411621094,76873000
2015-03-06,172.5551287888291,172.9835950527475,170.6435323169567,170.97311401367188,188128000
2015-03-09,171.1709223977097,172.0360777566986,171.01436664391485,171.68177795410156,89818900
2015-03-10,170.32221566618426,170.40460481846046,168.85554291190695,168.89674377441406,157121300
2015-03-11,169.1520877112122,169.32512621891237,168.41875798378166,168.50115966796875,110145700
2015-03-12,169.1274308715226,170.70944571261202,169.0779948722286,170.64353942871094,93993500
2015-03-13,170.37160716696647,171.32739903467038,168.56711798607776,169.59707641601562,162410900
2015-03-16,170.32217748797643,171.95362818111172,169.62180070056112,171.8629913330078,136099200
2015-03-17,171.12968301520186,171.73117531616833,170.54466099943568,171.35215759277344,94510400
2015-03-18,170.88250948225874,174.07950535057307,170.24805139470664,173.41209411621094,228808500
2015-03-19,173.00009353333743,173.4203121205103,172.23379778880226,172.62106323242188,117917300
2015-03-20,173.56541124859362,174.64962400770247,173.38332836688056,174.14476013183594,177715100
2015-03-23,174.15302924625576,174.72410621804497,173.805419921875,173.805419921875,71784500
2015-03-24,173.68130020424437,174.1364948299341,172.7626137919206,172.82882690429688,77805300
2015-03-25,173.0356722237717,173.2674117143737,170.2547857076927,170.29615783691406,159521700
2015-03-26,169.63411811581813,170.80108792219932,168.93888674510126,169.89068603515625,153067200
2015-03-27,169.77476877413443,170.45343089079788,169.58440139203606,170.27963256835938,118939000
2015-03-30,171.30594307303178,172.6550083422736,171.28939926730735,172.3570556640625,96180400
2015-03-31,171.53768533953814,172.23291668553748,170.7928099467254,170.85073852539062,126768700
2015-04-01,170.8176285089476,170.84245684536316,169.26165207299155,170.24655151367188,137303600
2015-04-02,170.18039472729888,171.3059926564647,169.9983117807527,170.85906982421875,86900900
