Date,ZT_Open,ZT_High,ZT_Low,ZT_Close,ZT_Volume,DGS2
2014-12-01,109.96875,110.0390625,109.953125,109.9609375,58126.0,0.49
2014-12-02,109.9609375,109.9609375,109.8828125,109.8984375,57642.0,0.55
2014-12-03,109.8828125,109.90625,109.84375,109.8515625,27748.0,0.57
2014-12-04,109.8671875,109.890625,109.8515625,109.8828125,9172.0,0.55
2014-12-05,109.890625,109.890625,109.6875,109.6875,14686.0,0.65
2014-12-08,109.6953125,109.7109375,109.640625,109.703125,4199.0,0.64
2014-12-09,109.7265625,109.78125,109.703125,109.71875,9536.0,0.64
2014-12-10,109.7265625,109.8203125,109.7265625,109.8125,5802.0,0.59
2014-12-11,109.8125,109.8125,109.7421875,109.75,4596.0,0.62
2014-12-12,109.8125,109.890625,109.8125,109.8671875,4886.0,0.56
2014-12-15,109.84375,109.84375,109.78125,109.7890625,8754.0,0.6
2014-12-16,109.984375,109.984375,109.84375,109.84375,1041.0,0.58
2014-12-17,109.8125,109.8359375,109.7421875,109.75,1950.0,0.62
2014-12-18,109.796875,109.8125,109.6953125,109.71875,391.0,0.67
2014-12-19,109.7578125,109.7734375,109.6796875,109.6875,3123.0,0.67
2014-12-22,109.6953125,109.703125,109.6640625,109.6640625,4111.0,0.71
2014-12-23,109.6640625,109.6640625,109.6015625,109.6015625,277.0,0.73
2014-12-24,109.59375,109.59375,109.546875,109.5859375,59.0,0.73
2014-12-25,,,,,,
2014-12-26,109.5859375,109.5859375,109.5859375,109.5859375,12.0,0.73
2014-12-29,109.578125,109.65625,109.5546875,109.6328125,264.0,0.72
2014-12-30,109.671875,109.703125,109.6640625,109.6640625,44.0,0.69
2014-12-31,109.703125,109.703125,109.578125,109.671875,88285.0,0.67
2015-01-01,,,,,,
2015-01-02,109.2734375,109.34375,109.2265625,109.3203125,155339.0,0.66
2015-01-05,109.328125,109.34375,109.2734375,109.3359375,166831.0,0.68
2015-01-06,109.3359375,109.515625,109.3359375,109.40625,311168.0,0.65
2015-01-07,109.40625,109.46875,109.375,109.453125,312841.0,0.62
2015-01-08,109.4453125,109.484375,109.3984375,109.46875,192039.0,0.62
